word,english
မင်းအားကစားလုပ်နေတာလား။,Are you doing sports?
ပြေးသည်။,Running
စက်ဘီး,Bicycle
ရေကူးတယ်။,Swimming
နှင်းလျှောစီးခြင်း။,Skiings
ဘောလုံး,Soccer
ဘတ်စကက်ဘော,Basketball
ဘော်လီဘော,Volleyball
ဘေ့စ်ဘော,Baseball
စားပွဲတင်တင်းနစ်,Table tennis
တင်းနစ်,Tennis
ကြက်တောင်ရိုက်,Badminton
တိုက်ခိုက်ရေးအားကစား,Fighting sports
သောက်ပါ။,Drink
သင်ဘာသောက်ချင်ပါသလဲ?,What would you like to drink?
ရေ,Water
လိမ္မော်သီးဖျော်ရည်,Orange juice
သစ်သီးဖျော်ရည်,Fruit juice
ကိုလာ,Cola
အချိုရည်,Soft drink
ဘီယာ,Beer
ဝိုင်,Wine
လက်ဖက်ရည်,Tea
ကော်ဖီ,Coffee
ကိုကိုး,Cocoa
